datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 12:40:00,0.0,2024,6,1,12,40,5,153,890.0,2024-06-01
2024-06-01 12:45:00,0.0,2024,6,1,12,45,5,153,895.0,2024-06-01
2024-06-01 12:50:00,0.0,2024,6,1,12,50,5,153,900.0,2024-06-01
2024-06-01 12:55:00,0.0,2024,6,1,12,55,5,153,905.0,2024-06-01
2024-06-01 13:00:00,0.0,2024,6,1,13,0,5,153,910.0,2024-06-01
2024-06-01 13:05:00,0.0,2024,6,1,13,5,5,153,915.0,2024-06-01
2024-06-01 13:10:00,0.0,2024,6,1,13,10,5,153,920.0,2024-06-01
2024-06-01 13:15:00,0.0,2024,6,1,13,15,5,153,925.0,2024-06-01
2024-06-01 13:20:00,0.0,2024,6,1,13,20,5,153,930.0,2024-06-01
2024-06-01 13:25:00,0.0,2024,6,1,13,25,5,153,935.0,2024-06-01
2024-06-01 13:30:00,0.0,2024,6,1,13,30,5,153,940.0,2024-06-01
2024-06-01 13:35:00,0.0,2024,6,1,13,35,5,153,945.0,2024-06-01
2024-06-01 13:40:00,0.0,2024,6,1,13,40,5,153,950.0,2024-06-01
2024-06-01 13:45:00,0.0,2024,6,1,13,45,5,153,955.0,2024-06-01
2024-06-01 13:50:00,0.0,2024,6,1,13,50,5,153,960.0,2024-06-01
2024-06-01 13:55:00,0.0,2024,6,1,13,55,5,153,965.0,2024-06-01
2024-06-01 14:00:00,0.0,2024,6,1,14,0,5,153,970.0,2024-06-01
2024-06-01 14:05:00,0.0,2024,6,1,14,5,5,153,975.0,2024-06-01
2024-06-01 14:10:00,0.0,2024,6,1,14,10,5,153,980.0,2024-06-01
2024-06-01 14:15:00,0.0,2024,6,1,14,15,5,153,985.0,2024-06-01
2024-06-01 14:20:00,0.0,2024,6,1,14,20,5,153,990.0,2024-06-01
2024-06-01 14:25:00,0.0,2024,6,1,14,25,5,153,995.0,2024-06-01
2024-06-01 14:30:00,0.0,2024,6,1,14,30,5,153,1000.0,2024-06-01
2024-06-01 14:35:00,0.0,2024,6,1,14,35,5,153,1005.0,2024-06-01
2024-06-01 14:40:00,0.0,2024,6,1,14,40,5,153,1010.0,2024-06-01
2024-06-01 14:45:00,0.0,2024,6,1,14,45,5,153,1015.0,2024-06-01
2024-06-01 14:50:00,0.0,2024,6,1,14,50,5,153,1020.0,2024-06-01
2024-06-01 14:55:00,0.0,2024,6,1,14,55,5,153,1025.0,2024-06-01
2024-06-01 15:00:00,0.0,2024,6,1,15,0,5,153,1030.0,2024-06-01
2024-06-01 15:05:00,0.0,2024,6,1,15,5,5,153,1035.0,2024-06-01
2024-06-01 15:10:00,0.0,2024,6,1,15,10,5,153,1040.0,2024-06-01
2024-06-01 15:15:00,0.0,2024,6,1,15,15,5,153,1045.0,2024-06-01
2024-06-01 15:20:00,0.0,2024,6,1,15,20,5,153,1050.0,2024-06-01
2024-06-01 15:25:00,0.0,2024,6,1,15,25,5,153,1055.0,2024-06-01
2024-06-01 15:30:00,0.0,2024,6,1,15,30,5,153,1060.0,2024-06-01
2024-06-01 15:35:00,0.0,2024,6,1,15,35,5,153,1065.0,2024-06-01
2024-06-01 15:40:00,0.0,2024,6,1,15,40,5,153,1070.0,2024-06-01
2024-06-01 15:45:00,0.0,2024,6,1,15,45,5,153,1075.0,2024-06-01
2024-06-01 15:50:00,0.0,2024,6,1,15,50,5,153,1080.0,2024-06-01
2024-06-01 15:55:00,0.0,2024,6,1,15,55,5,153,1085.0,2024-06-01
2024-06-01 16:00:00,0.0,2024,6,1,16,0,5,153,1090.0,2024-06-01
2024-06-01 16:05:00,0.0,2024,6,1,16,5,5,153,1095.0,2024-06-01
2024-06-01 16:10:00,0.0,2024,6,1,16,10,5,153,1100.0,2024-06-01
2024-06-01 16:15:00,0.0,2024,6,1,16,15,5,153,1105.0,2024-06-01
2024-06-01 16:20:00,0.0,2024,6,1,16,20,5,153,1110.0,2024-06-01
2024-06-01 16:25:00,0.0,2024,6,1,16,25,5,153,1115.0,2024-06-01
2024-06-01 16:30:00,0.0,2024,6,1,16,30,5,153,1120.0,2024-06-01
2024-06-01 16:35:00,0.0,2024,6,1,16,35,5,153,1125.0,2024-06-01
2024-06-01 16:40:00,0.0,2024,6,1,16,40,5,153,1130.0,2024-06-01
2024-06-01 16:45:00,0.0,2024,6,1,16,45,5,153,1135.0,2024-06-01
2024-06-01 16:50:00,0.0,2024,6,1,16,50,5,153,1140.0,2024-06-01
